,Experiment,Model,Metric/Class,Hyperparameters,Performance
0,overall,XGBClassifier,accuracy,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 75, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.8566666666666667
1,overall,XGBClassifier,precision,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 75, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.8060018133776911
2,overall,XGBClassifier,recall,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 75, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.7979070213751572
3,overall,XGBClassifier,f1-score,"{""colsample_bytree"": 1.0, ""gamma"": 1, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 75, ""reg_alpha"": 0, ""reg_lambda"": 0.1, ""subsample"": 0.8}",0.7997259841690882
4,overall,GradientBoostingClassifier,accuracy,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 5, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 50, ""subsample"": 0.7}",0.85
5,overall,GradientBoostingClassifier,precision,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 5, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 50, ""subsample"": 0.7}",0.7960978413398662
6,overall,GradientBoostingClassifier,recall,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 5, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 50, ""subsample"": 0.7}",0.786236737034831
7,overall,GradientBoostingClassifier,f1-score,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 5, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 50, ""subsample"": 0.7}",0.7879781041796312
8,overall,LogisticRegression,accuracy,"{""C"": 1000000000.0, ""max_iter"": 90, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.01}",0.8416666666666666
9,overall,LogisticRegression,precision,"{""C"": 1000000000.0, ""max_iter"": 90, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""sag"", ""tol"": 0.01}",0.7980380352265832
